establishment_id,name,state,district,industry_sector,hazardous_process,worker_count,contract_worker_ratio,female_worker_ratio,wage_violation_count,ot_violation_count,deduction_violation_count,missing_register_count,ghost_worker_count,uncompensated_worker_count,disbursement_mismatch_count,inspection_history_violations,grievance_complaint_count,ground_truth_risk_score,ground_truth_inspection_priority
EST-0001,Bharat Fabrics & Garments,Uttar Pradesh,Noida,Automobile & Auto Components,True,52,0.534,0.078,1,2,0,0,0,0,0,0,0,54.9,MEDIUM
EST-0002,Tata Synthetics Ltd,Gujarat,Surat,"Textile, Garments & Apparel",False,31,0.616,0.444,0,0,0,0,0,0,0,0,0,47.2,MEDIUM
EST-0003,Vanguard Enterprises Pvt Ltd,Maharashtra,Thane,Electronics & Precision Fabrication,False,59,0.209,0.639,1,0,0,0,0,0,0,0,0,31.3,LOW
EST-0004,Apex Engineering Works,Gujarat,Vadodara,Electronics & Precision Fabrication,False,69,0.52,0.71,0,0,0,0,0,0,0,0,0,23.9,LOW
EST-0005,Delta Enterprises Pvt Ltd,Tamil Nadu,Coimbatore,Food Processing & Agro Industries,False,44,0.426,0.125,0,0,0,1,0,0,0,0,0,31.3,LOW
EST-0006,Swastik Manufacturing Corp,Maharashtra,Pune,Warehousing & Supply Chain Logistics,False,82,0.825,0.098,0,0,0,0,0,0,0,0,0,42.5,LOW
EST-0007,Vanguard Enterprises Pvt Ltd,Tamil Nadu,Sriperumbudur,Automobile & Auto Components,True,25,0.736,0.215,4,0,0,0,0,0,0,0,0,69.1,MEDIUM
EST-0008,Vanguard Enterprises Pvt Ltd,Maharashtra,Thane,"Textile, Garments & Apparel",False,45,0.319,0.717,0,0,0,0,0,0,0,0,0,44.8,LOW
EST-0009,Shakti Engineering Works,Haryana,Panipat,Electronics & Precision Fabrication,False,14,0.557,0.626,1,0,0,0,0,0,0,1,0,40.3,LOW
EST-0010,Bharat Enterprises Pvt Ltd,Maharashtra,Thane,Automobile & Auto Components,True,31,0.412,0.13,0,0,0,0,0,0,0,0,0,38.7,LOW
EST-0011,Apex Synthetics Ltd,Karnataka,Peenya,Warehousing & Supply Chain Logistics,False,17,0.318,0.086,0,0,0,0,0,0,0,0,0,43.5,LOW
EST-0012,Pinnacle Engineering Works,Tamil Nadu,Sriperumbudur,Warehousing & Supply Chain Logistics,False,54,0.435,0.08,0,0,0,0,0,0,0,0,0,38.4,LOW
EST-0013,Bharat Fabrics & Garments,Uttar Pradesh,Noida,Food Processing & Agro Industries,False,172,0.344,0.306,0,2,0,0,0,0,0,3,0,51.3,MEDIUM
EST-0014,Shakti Industries Ltd.,Haryana,Panipat,Food Processing & Agro Industries,True,112,0.364,0.159,0,0,0,0,0,0,0,0,0,33.0,LOW
EST-0015,Surya Engineering Works,Karnataka,Peenya,Warehousing & Supply Chain Logistics,False,151,0.267,0.142,0,0,0,0,0,0,0,0,0,39.2,LOW
EST-0016,Bharat Enterprises Pvt Ltd,Karnataka,Bengaluru Urban,Chemical & Hazardous Processing,True,171,0.365,0.345,3,0,0,0,0,0,0,0,0,83.1,HIGH
EST-0017,Pinnacle Synthetics Ltd,Haryana,Gurugram,Automobile & Auto Components,False,106,0.481,0.216,1,1,0,0,0,0,1,0,0,56.1,MEDIUM
EST-0018,Tata Processing Co.,Haryana,Panipat,Construction & Infrastructure,True,223,0.818,0.12,3,0,0,0,0,0,0,0,0,89.6,HIGH
EST-0019,Surya Industries Ltd.,Haryana,Gurugram,"Textile, Garments & Apparel",False,12,0.587,0.586,0,1,0,0,0,0,0,0,0,50.6,MEDIUM
EST-0020,Delta Processing Co.,Tamil Nadu,Coimbatore,Warehousing & Supply Chain Logistics,False,51,0.6,0.073,0,0,0,0,0,0,0,0,0,39.3,LOW
EST-0021,Shakti Components India,Tamil Nadu,Sriperumbudur,Electronics & Precision Fabrication,False,336,0.669,0.523,0,0,0,0,0,0,0,0,0,27.8,LOW
EST-0022,Shakti Processing Co.,Tamil Nadu,Sriperumbudur,Chemical & Hazardous Processing,True,28,0.37,0.237,0,0,0,0,0,0,0,0,0,62.1,MEDIUM
EST-0023,Shakti Fabrics & Garments,Haryana,Gurugram,Chemical & Hazardous Processing,True,204,0.222,0.337,0,2,0,0,0,1,0,0,0,80.0,HIGH
EST-0024,Hindustan Manufacturing Corp,Gujarat,Vadodara,"Textile, Garments & Apparel",False,29,0.748,0.698,0,5,0,0,0,0,0,0,0,77.8,HIGH
EST-0025,Shakti Synthetics Ltd,Haryana,Panipat,Automobile & Auto Components,False,258,0.316,0.195,0,0,0,0,0,0,0,1,0,42.0,LOW
EST-0026,Kalyan Synthetics Ltd,Haryana,Panipat,Food Processing & Agro Industries,False,45,0.29,0.053,0,1,0,0,0,0,0,0,0,35.9,LOW
EST-0027,Navkar Engineering Works,Maharashtra,Pune,Automobile & Auto Components,False,67,0.407,0.215,0,0,0,0,0,0,0,0,0,32.5,LOW
EST-0028,Swastik Fabrics & Garments,Uttar Pradesh,Kanpur,Construction & Infrastructure,True,51,0.733,0.241,0,0,0,0,0,0,0,0,0,61.9,MEDIUM
EST-0029,Delta Enterprises Pvt Ltd,Maharashtra,Thane,Construction & Infrastructure,True,116,0.9,0.217,1,2,3,0,0,0,2,1,0,98.5,HIGH
EST-0030,Vanguard Manufacturing Corp,Maharashtra,Thane,"Textile, Garments & Apparel",False,89,0.842,0.499,0,0,1,0,0,0,0,0,0,47.2,MEDIUM
EST-0031,Surya Enterprises Pvt Ltd,Gujarat,Surat,Electronics & Precision Fabrication,False,179,0.414,0.495,0,1,0,0,0,0,0,0,0,33.9,LOW
EST-0032,Swastik Industries Ltd.,Karnataka,Peenya,Automobile & Auto Components,False,129,0.316,0.191,0,0,0,0,0,0,0,1,0,35.3,LOW
EST-0033,Swastik Synthetics Ltd,Maharashtra,Thane,Chemical & Hazardous Processing,True,76,0.486,0.13,0,0,0,0,0,0,0,0,0,59.3,MEDIUM
EST-0034,Hindustan Processing Co.,Tamil Nadu,Sriperumbudur,Electronics & Precision Fabrication,False,29,0.389,0.467,0,0,0,0,0,0,0,1,0,27.1,LOW
EST-0035,Navkar Processing Co.,Maharashtra,Pune,Chemical & Hazardous Processing,True,213,0.36,0.311,0,0,0,0,0,0,0,0,0,63.3,MEDIUM
EST-0036,Surya Processing Co.,Haryana,Gurugram,Construction & Infrastructure,True,224,0.346,0.237,0,1,0,0,0,0,0,0,0,70.9,HIGH
EST-0037,Shree Engineering Works,Karnataka,Bengaluru Urban,Automobile & Auto Components,False,914,0.75,0.312,1,0,1,0,0,0,0,0,0,56.5,MEDIUM
EST-0038,Vanguard Processing Co.,Karnataka,Peenya,Warehousing & Supply Chain Logistics,True,75,0.213,0.097,0,0,0,0,0,0,0,0,0,37.6,LOW
EST-0039,Delta Enterprises Pvt Ltd,Haryana,Gurugram,Electronics & Precision Fabrication,False,33,0.25,0.417,0,0,0,1,0,0,0,0,0,30.0,LOW
EST-0040,Surya Enterprises Pvt Ltd,Uttar Pradesh,Noida,Electronics & Precision Fabrication,False,429,0.3,0.503,0,0,0,0,0,0,0,0,0,32.6,LOW
EST-0041,Delta Fabrics & Garments,Gujarat,Surat,Electronics & Precision Fabrication,True,140,0.556,0.405,1,0,0,0,0,0,0,1,0,38.0,LOW
EST-0042,Shree Processing Co.,Karnataka,Peenya,"Textile, Garments & Apparel",False,191,0.336,0.434,0,0,0,0,0,0,0,1,0,46.2,MEDIUM
EST-0043,Hindustan Processing Co.,Haryana,Gurugram,Warehousing & Supply Chain Logistics,True,1296,0.606,0.159,0,3,0,0,0,0,0,0,0,60.7,MEDIUM
EST-0044,Bharat Industries Ltd.,Uttar Pradesh,Noida,Food Processing & Agro Industries,True,141,0.359,0.115,0,0,0,1,0,0,0,0,0,35.3,LOW
EST-0045,Bharat Synthetics Ltd,Maharashtra,Pune,"Textile, Garments & Apparel",False,141,0.519,0.672,0,0,0,1,0,0,0,0,0,52.7,MEDIUM
