establishment_id,name,state,district,industry_sector,hazardous_process,worker_count,contract_worker_ratio,female_worker_ratio,wage_violation_count,ot_violation_count,deduction_violation_count,missing_register_count,ghost_worker_count,uncompensated_worker_count,disbursement_mismatch_count,inspection_history_violations,grievance_complaint_count,ground_truth_risk_score,ground_truth_inspection_priority
EST-0001,Shree Components India,Maharashtra,Pune,Chemical & Hazardous Processing,False,12,0.393,0.091,0,0,2,0,0,0,0,0,0,71.9,HIGH
EST-0002,Shree Manufacturing Corp,Maharashtra,Thane,Automobile & Auto Components,False,47,0.469,0.195,0,0,0,0,1,0,0,0,0,49.4,MEDIUM
EST-0003,Delta Components India,Karnataka,Peenya,Electronics & Precision Fabrication,False,67,0.171,0.46,0,0,0,0,0,0,0,0,0,26.0,LOW
EST-0004,Vanguard Components India,Maharashtra,Pune,Chemical & Hazardous Processing,False,96,0.572,0.103,0,1,0,0,0,0,0,0,0,62.9,MEDIUM
EST-0005,Sterling Enterprises Pvt Ltd,Maharashtra,Thane,Food Processing & Agro Industries,False,162,0.565,0.174,1,4,2,0,0,0,0,0,0,70.9,HIGH
EST-0006,Navkar Components India,Uttar Pradesh,Noida,Electronics & Precision Fabrication,False,53,0.201,0.659,0,0,0,0,0,0,0,0,0,24.4,LOW
EST-0007,Pinnacle Manufacturing Corp,Maharashtra,Pune,"Textile, Garments & Apparel",False,63,0.475,0.485,0,0,0,0,0,0,0,0,0,41.1,LOW
EST-0008,Vanguard Enterprises Pvt Ltd,Gujarat,Surat,Food Processing & Agro Industries,False,95,0.255,0.264,0,0,0,0,0,0,0,0,0,30.9,LOW
EST-0009,Delta Synthetics Ltd,Maharashtra,Pune,Electronics & Precision Fabrication,True,112,0.522,0.52,0,0,5,0,0,0,0,0,0,48.9,MEDIUM
EST-0010,Swastik Synthetics Ltd,Gujarat,Surat,Automobile & Auto Components,False,28,0.281,0.123,0,0,0,0,0,0,0,0,0,35.6,LOW
EST-0011,Apex Manufacturing Corp,Gujarat,Surat,Chemical & Hazardous Processing,True,31,0.243,0.148,4,0,0,0,0,0,0,0,1,95.1,HIGH
EST-0012,Vanguard Enterprises Pvt Ltd,Uttar Pradesh,Kanpur,Construction & Infrastructure,False,173,0.807,0.109,0,0,0,0,0,0,0,0,0,61.8,MEDIUM
EST-0013,Swastik Engineering Works,Karnataka,Peenya,Food Processing & Agro Industries,False,120,0.37,0.18,0,0,0,0,0,0,0,0,0,28.0,LOW
EST-0014,Kalyan Industries Ltd.,Tamil Nadu,Sriperumbudur,Automobile & Auto Components,False,87,0.577,0.106,1,0,0,0,0,0,0,0,0,42.6,LOW
EST-0015,Apex Fabrics & Garments,Haryana,Panipat,Electronics & Precision Fabrication,False,53,0.15,0.728,1,0,0,0,0,0,0,0,0,33.3,LOW
EST-0016,Shree Synthetics Ltd,Maharashtra,Pune,"Textile, Garments & Apparel",False,30,0.259,0.634,0,0,0,0,0,0,0,0,0,41.7,LOW
EST-0017,Pinnacle Components India,Maharashtra,Pune,Chemical & Hazardous Processing,True,60,0.513,0.217,3,0,0,0,0,0,0,0,0,82.5,HIGH
EST-0018,Navkar Synthetics Ltd,Haryana,Gurugram,Automobile & Auto Components,False,14,0.492,0.105,2,0,0,0,0,0,1,0,0,61.2,MEDIUM
EST-0019,Zenith Components India,Karnataka,Bengaluru Urban,Food Processing & Agro Industries,False,255,0.209,0.318,0,0,0,0,0,0,0,0,0,32.0,LOW
EST-0020,Pinnacle Fabrics & Garments,Karnataka,Bengaluru Urban,Automobile & Auto Components,False,271,0.604,0.084,2,0,0,0,0,0,0,0,0,54.7,MEDIUM
EST-0021,Shakti Manufacturing Corp,Maharashtra,Pune,Electronics & Precision Fabrication,False,131,0.379,0.706,1,0,0,0,0,0,0,0,0,34.8,LOW
EST-0022,Surya Fabrics & Garments,Maharashtra,Pune,Warehousing & Supply Chain Logistics,False,65,0.875,0.215,0,1,1,0,0,0,0,2,0,61.9,MEDIUM
EST-0023,Apex Fabrics & Garments,Maharashtra,Thane,Construction & Infrastructure,True,118,0.512,0.249,0,0,0,0,0,0,0,0,0,66.3,MEDIUM
EST-0024,Shakti Fabrics & Garments,Gujarat,Surat,Chemical & Hazardous Processing,True,12,0.816,0.051,2,1,0,1,0,0,0,0,0,86.0,HIGH
EST-0025,Pinnacle Engineering Works,Uttar Pradesh,Kanpur,Chemical & Hazardous Processing,True,37,0.423,0.081,0,1,0,0,0,0,0,0,0,66.2,MEDIUM
EST-0026,Delta Synthetics Ltd,Tamil Nadu,Sriperumbudur,Warehousing & Supply Chain Logistics,False,41,0.608,0.253,0,0,0,0,0,0,0,0,0,41.5,LOW
EST-0027,Zenith Engineering Works,Haryana,Gurugram,Warehousing & Supply Chain Logistics,False,84,0.487,0.346,0,0,0,0,0,0,0,0,0,38.6,LOW
